feature_index,feature
0,open_close_log
1,high_close_log
2,low_close_log
3,volume_logchg_1h
4,quote_volume_logchg_1h
5,num_trades_logchg_1h
6,log_return
7,log_return_lag_1h
8,log_return_lag_6h
9,log_return_lag_24h
10,close_sma24_log
11,close_sma168_log
12,macd_pct
13,rsi_14
14,momentum_6h
15,momentum_24h
16,volatility_24h
17,volatility_168h
18,atr_pct_14
19,bb_width_20
20,volume_zscore_24
21,taker_buy_ratio
22,buy_sell_imbalance
23,range_pct
24,body_pct
25,close_location
